id,name,voltage,amperage,authentication_membership_card,capacity,fee,note,opening_hours,operator,socket_schuko,socket_type2,socket_type2_output,lon,lat
"node/5469466722",null,null,"32","yes","2",null,null,null,"Stromnetz Hamburg","2","2",null,10.033681,53.5832428
"node/5469526210",null,null,"32","yes","2",null,null,null,"Stromnetz Hamburg","2","2",null,10.0188976,53.5800109
"node/5470174112",null,null,"32",null,"2",null,null,"24/7","Stromnetz Hamburg","2","2",null,10.2013026,53.4934192
"node/5470401052",null,"230",null,"no","4","no",null,null,"Gemeinde Jagsthausen","4",null,null,9.4670626,49.3082169
"node/5470401055",null,null,null,"yes",null,null,null,"24/7","Gemeinde Jagsthausen",null,"1",null,9.4669835,49.3082422
"node/5474813620",null,null,null,null,null,null,null,null,null,null,null,null,7.5581515,51.4578719
"node/5475328513",null,null,null,null,null,null,null,null,null,null,null,null,9.3165547,48.8357924
"node/5475727953",null,"230",null,null,"12",null,null,null,"Rheinenergie","12",null,null,6.9654618,50.7519976
"node/5476711805",null,null,null,null,null,null,null,null,null,null,null,null,13.3092727,52.5121173
"node/5478344037",null,null,null,null,null,null,null,null,null,null,null,null,8.0362094,51.7554723
"node/5479988698","REWE Parkplatz",null,null,null,"2",null,null,null,"Rothmoser","1","1","22 kW",12.001197,47.9918134
"node/5481455311",null,null,null,null,"1",null,null,null,null,null,null,null,12.1650124,48.5776639
"node/5482436281",null,null,null,null,"2 x 22 kW",null,null,"24/7","Danpower GmbH",null,null,null,11.5058122,48.5224097
"node/5483281600",null,"400","32","yes","2","yes",null,"24/7","BERMeG - BürgerEnergieRheinMain eG",null,"2",null,8.5662003,49.9794748
"node/5483331505","E-Ladesäule","400",null,null,"2",null,null,"24/7","Stadtwerke Wolfenbüttel",null,"2","22000",10.539051,52.1588219
"node/5483331506","Schnellladesäule","400",null,null,"2",null,null,"24/7","Stadtwerke Wolfenbüttel",null,"2","22000",10.539051,52.1588503
"node/5483390479",null,null,"32","yes","2",null,null,null,"Stromnetz Hamburg","2","2",null,9.9830313,53.6051673
"node/5484519822",null,null,null,null,null,null,null,null,"eBike Ladestation",null,null,null,7.7365228,48.1233278
"node/5484519823",null,null,null,null,"2","yes",null,null,"e-on Drive",null,"1","43 kW",8.6038361,49.6902432
"node/5484536013",null,null,null,null,"2","yes",null,"24/7","Standwerke Haßfurt",null,"2","22kW",10.5061996,50.0318155
"node/5484536014",null,null,null,null,"2","yes",null,"24/7","Stadtwerke Haßfurt",null,"2","22kW",10.5038346,50.0373631
"node/5484536015",null,null,null,null,"2","yes",null,"24/7","Stadtwerke Haßfurt",null,"2","22kW",10.5039523,50.0373857
"node/5484624616",null,"230",null,null,"6",null,null,null,null,null,null,null,9.3607529,49.3232215
"node/5484872573",null,null,"16",null,null,null,null,null,null,"2","1",null,11.8786966,49.4191841
"node/5485907716",null,null,null,"yes","1",null,null,null,"EnBW","1","1",null,9.2573722,48.7834536
